X,Y,Z,r,theta,phi,E_r,E_t
-0.0,-0.0,1.0,1.0,0.0,3.385938748868999,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,-0.0,1.0,1.0,0.0,3.4033920413889427,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,-0.0,1.0,1.0,0.0,3.420845333908886,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,-0.0,1.0,1.0,0.0,3.4382986264288293,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,-0.0,1.0,1.0,0.0,3.4557519189487724,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,-0.0,1.0,1.0,0.0,3.473205211468716,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,-0.0,1.0,1.0,0.0,3.490658503988659,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,-0.0,1.0,1.0,0.0,3.5081117965086026,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,-0.0,1.0,1.0,0.0,3.5255650890285457,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,-0.0,1.0,1.0,0.0,3.543018381548489,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,-0.0,1.0,1.0,0.0,3.5604716740684323,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,-0.0,1.0,1.0,0.0,3.5779249665883754,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,-0.0,1.0,1.0,0.0,3.595378259108319,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,-0.0,1.0,1.0,0.0,3.612831551628262,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,-0.0,1.0,1.0,0.0,3.6302848441482056,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,-0.0,1.0,1.0,0.0,3.6477381366681487,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,-0.0,1.0,1.0,0.0,3.6651914291880923,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,-0.0,1.0,1.0,0.0,3.6826447217080354,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,-0.0,1.0,1.0,0.0,3.7000980142279785,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,-0.0,1.0,1.0,0.0,3.717551306747922,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,-0.0,1.0,1.0,0.0,3.735004599267865,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,-0.0,1.0,1.0,0.0,3.7524578917878086,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,-0.0,1.0,1.0,0.0,3.7699111843077517,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,-0.0,1.0,1.0,0.0,3.7873644768276953,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,-0.0,1.0,1.0,0.0,3.8048177693476384,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,-0.0,1.0,1.0,0.0,3.822271061867582,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,-0.0,1.0,1.0,0.0,3.839724354387525,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,-0.0,1.0,1.0,0.0,3.857177646907468,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,-0.0,1.0,1.0,0.0,3.8746309394274117,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,-0.0,1.0,1.0,0.0,3.8920842319473548,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,-0.0,1.0,1.0,0.0,3.9095375244672983,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,-0.0,1.0,1.0,0.0,3.9269908169872414,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,-0.0,1.0,1.0,0.0,3.944444109507185,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,-0.0,1.0,1.0,0.0,3.961897402027128,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,-0.0,1.0,1.0,0.0,3.9793506945470716,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,-0.0,1.0,1.0,0.0,3.9968039870670147,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,-0.0,1.0,1.0,0.0,4.014257279586958,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,-0.0,1.0,1.0,0.0,4.031710572106901,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,-0.0,1.0,1.0,0.0,4.049163864626845,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,-0.0,1.0,1.0,0.0,4.066617157146788,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,-0.0,1.0,1.0,0.0,4.084070449666731,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,-0.0,1.0,1.0,0.0,4.101523742186674,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,-0.0,1.0,1.0,0.0,4.118977034706618,0j,(-0.06926651092006958-0.2503928890000739j)
